kmer,importance
kmer_9556,0.007196092
kmer_3708,0.007196008
kmer_7595,0.007194798
kmer_6249,0.0071945116
kmer_9304,0.007193777
kmer_6746,0.007191037
kmer_2328,0.0071897614
kmer_6966,0.007188854
kmer_4913,0.007187573
kmer_4383,0.007187268
kmer_8711,0.0071870983
kmer_4341,0.0071870447
kmer_9515,0.0071868855
kmer_4310,0.0071868366
kmer_8698,0.007186529
kmer_8903,0.0071859807
kmer_8953,0.007185959
kmer_6658,0.0071853837
kmer_5470,0.0071842414
kmer_4788,0.007183404
kmer_9148,0.0071831197
kmer_5279,0.0071827197
kmer_7283,0.0071822735
kmer_9660,0.007180877
kmer_9713,0.007180429
kmer_8725,0.007180132
kmer_8535,0.007178732
kmer_242,0.007178715
kmer_9949,0.00717866
kmer_2743,0.0071779788
kmer_4437,0.0071772495
kmer_4292,0.007175832
kmer_5775,0.007173949
kmer_907,0.007172807
kmer_9898,0.007172801
kmer_6087,0.0071707363
kmer_5854,0.007169279
kmer_7313,0.0071681994
kmer_8114,0.0071681985
kmer_9896,0.00716816
kmer_4740,0.007168118
kmer_6122,0.007167769
kmer_7689,0.007167296
kmer_2358,0.0071666804
kmer_4179,0.0071666474
kmer_7622,0.0071659386
kmer_6865,0.007164961
kmer_8809,0.0071635465
kmer_7143,0.0071632685
kmer_5274,0.007163051
kmer_9231,0.00716138
kmer_9217,0.007161082
kmer_5865,0.007158469
kmer_6080,0.007155581
kmer_8560,0.007155364
kmer_6257,0.007155343
kmer_9147,0.0071551143
kmer_4135,0.007155098
kmer_6818,0.007154507
kmer_8296,0.0071537495
kmer_2750,0.007152509
kmer_6648,0.007152164
kmer_7144,0.0071517406
kmer_7570,0.007151173
kmer_9685,0.0071495846
kmer_8887,0.007148955
kmer_6089,0.007147415
kmer_5851,0.0071471753
kmer_6817,0.0071466374
kmer_8394,0.0071451026
kmer_2482,0.0071448437
kmer_6387,0.007144447
kmer_4631,0.0071441703
kmer_2735,0.007144105
kmer_457,0.007143393
kmer_4791,0.007142904
kmer_9465,0.007141254
kmer_3101,0.007140171
kmer_9036,0.0071374513
kmer_3656,0.0071372055
kmer_5495,0.007136668
kmer_5016,0.0071361302
kmer_3427,0.0071349028
kmer_8581,0.0071332618
kmer_9565,0.0071324767
kmer_9143,0.0071322247
kmer_4320,0.007131204
kmer_6256,0.0071311602
kmer_6392,0.007129946
kmer_7311,0.007129637
kmer_6867,0.0071279234
