kmer,importance
kmer_2586,0.006508806
kmer_7388,0.0065077282
kmer_7596,0.006506023
kmer_7897,0.006505709
kmer_3576,0.006504851
kmer_6218,0.0065038903
kmer_4597,0.0065030837
kmer_4552,0.0065016127
kmer_8519,0.0065008807
kmer_6350,0.006500009
kmer_8210,0.0064986343
kmer_6692,0.0064973235
kmer_8018,0.0064946646
kmer_9281,0.006493424
kmer_8823,0.006492204
kmer_5248,0.006492038
kmer_5109,0.006490822
kmer_6728,0.006488343
kmer_7076,0.0064883097
kmer_5284,0.0064883074
kmer_1294,0.0064875153
kmer_5288,0.006486364
kmer_8677,0.0064854315
kmer_5084,0.0064850966
kmer_5358,0.0064841756
kmer_5072,0.0064833793
kmer_3582,0.0064806193
kmer_8800,0.0064804615
kmer_6296,0.0064802016
kmer_7377,0.006478122
kmer_7708,0.006477844
kmer_7372,0.0064768204
kmer_7103,0.006476397
kmer_5597,0.006474
kmer_2873,0.0064735706
kmer_9162,0.0064725685
kmer_4870,0.006472169
kmer_9330,0.006471692
kmer_3996,0.0064697526
kmer_9008,0.006469585
kmer_6808,0.006467951
kmer_1812,0.006467746
kmer_2097,0.006465674
kmer_6641,0.006463503
kmer_7800,0.006462659
kmer_6944,0.0064617125
kmer_5086,0.0064610867
kmer_4873,0.006460443
kmer_1090,0.0064574564
kmer_7146,0.0064568734
kmer_1858,0.006456696
kmer_4284,0.006455917
kmer_7368,0.0064556226
kmer_2438,0.006455287
kmer_7260,0.0064543732
kmer_8449,0.0064535714
kmer_7464,0.006453493
kmer_9669,0.00645253
kmer_6554,0.006452451
kmer_1581,0.0064522964
kmer_1273,0.006452275
kmer_7809,0.006452032
kmer_8590,0.006451902
kmer_5858,0.006451089
kmer_8623,0.006448926
kmer_5152,0.0064474973
kmer_8649,0.006447271
kmer_9750,0.0064462335
kmer_5929,0.0064449846
kmer_4796,0.0064447173
kmer_6015,0.006442641
kmer_6360,0.0064425296
kmer_9494,0.0064424463
kmer_7633,0.0064422125
kmer_6282,0.0064407466
kmer_7752,0.0064391694
kmer_717,0.006439165
kmer_8285,0.006438768
kmer_6636,0.006437934
kmer_7301,0.0064372784
kmer_4998,0.006433938
kmer_4259,0.006433395
kmer_8857,0.006433226
kmer_8301,0.0064324117
kmer_4798,0.0064319777
kmer_881,0.006431757
kmer_129,0.006431403
kmer_6317,0.0064310683
kmer_7463,0.0064304927
kmer_9140,0.006429665
kmer_6508,0.006428551
kmer_4146,0.0064283093
kmer_9055,0.006427513
kmer_8116,0.0064246813
kmer_8456,0.0064245975
kmer_8774,0.00642366
kmer_4861,0.0064216545
kmer_8496,0.006420451
kmer_565,0.006419066
kmer_9429,0.0064185597
kmer_7647,0.006417792
kmer_4920,0.00641733
kmer_9577,0.0064164144
kmer_7367,0.0064162207
kmer_8060,0.006415288
kmer_7019,0.006415114
kmer_6994,0.0064148554
kmer_7470,0.0064146467
kmer_9135,0.0064123096
kmer_8672,0.006411626
kmer_5186,0.0064114006
kmer_8828,0.006411387
kmer_6872,0.006410948
kmer_8922,0.0064100153
kmer_5151,0.0064092437
kmer_8589,0.0064082337
kmer_8820,0.0064080497
kmer_7891,0.0064078444
kmer_9600,0.006407245
kmer_5390,0.006407187
