kmer,importance
kmer_56,0.0099413125
kmer_5843,0.00993981
kmer_719,0.0099389255
kmer_7622,0.009938914
kmer_5103,0.009938702
kmer_8360,0.009937847
kmer_7205,0.0099375835
kmer_9820,0.0099363085
kmer_8014,0.009935992
kmer_6283,0.009934579
kmer_7258,0.009934276
kmer_7344,0.009933837
kmer_9827,0.009933132
kmer_7609,0.009930277
kmer_9826,0.009930192
kmer_5227,0.009929327
kmer_8463,0.00992642
kmer_7684,0.009925874
kmer_9796,0.009923984
kmer_3215,0.009921277
kmer_7197,0.009921062
kmer_2298,0.009918969
kmer_9019,0.009918859
kmer_6219,0.009917949
kmer_5619,0.009917501
kmer_6420,0.009917412
kmer_8067,0.009913491
kmer_5621,0.009913377
kmer_2302,0.009912164
kmer_5981,0.009909982
kmer_3611,0.009905089
kmer_7351,0.009903924
kmer_7350,0.009903519
kmer_7653,0.009901863
kmer_8763,0.009901829
kmer_8071,0.00990124
kmer_9247,0.009891777
kmer_6199,0.009890966
kmer_9927,0.009889942
kmer_7163,0.009889739
kmer_9894,0.009889583
kmer_4752,0.009889491
kmer_3370,0.009889404
kmer_5004,0.009887411
kmer_4475,0.009884984
kmer_3908,0.009882949
kmer_3603,0.009882321
kmer_4747,0.009880596
kmer_8454,0.009880427
kmer_2288,0.009879582
kmer_7754,0.009879458
kmer_9206,0.009878719
kmer_7870,0.009878294
kmer_7166,0.009877936
kmer_4189,0.009877164
kmer_8589,0.009876564
kmer_2753,0.009876245
kmer_8635,0.009875508
kmer_9334,0.009874644
kmer_7234,0.009873315
kmer_6412,0.009872813
kmer_7027,0.00987215
kmer_6527,0.009872073
kmer_9706,0.0098714465
kmer_6029,0.009870644
kmer_6561,0.009868183
kmer_6582,0.009868178
kmer_9664,0.009867051
kmer_3057,0.009866974
kmer_8766,0.009866036
kmer_2966,0.00986435
kmer_2524,0.0098638525
kmer_6579,0.0098634595
kmer_5610,0.009863422
kmer_9307,0.009862044
kmer_5090,0.009860226
kmer_4200,0.009860214
kmer_9700,0.009859106
kmer_7618,0.009858796
kmer_7479,0.009857787
kmer_9795,0.009856231
kmer_8609,0.009855868
kmer_9680,0.009854935
kmer_7677,0.009854414
kmer_8466,0.009853713
kmer_9008,0.009853461
kmer_6805,0.009850903
kmer_9151,0.0098482035
kmer_6685,0.009848143
kmer_5177,0.009846411
kmer_9886,0.009845563
kmer_9362,0.0098416535
kmer_6683,0.009841293
kmer_8588,0.009840984
kmer_8608,0.009839034
kmer_2415,0.009838939
kmer_5803,0.009838668
kmer_8780,0.009838306
kmer_9946,0.009834553
kmer_1866,0.009833954
kmer_8814,0.0098335305
kmer_2287,0.009833348
kmer_9883,0.009832974
kmer_7594,0.009830356
kmer_5712,0.009830102
kmer_6800,0.0098298965
kmer_9668,0.009828659
kmer_6945,0.009828636
kmer_4158,0.009827572
kmer_6528,0.009826843
kmer_6022,0.009825545
kmer_4968,0.0098254
kmer_4970,0.009824485
kmer_4756,0.009821158
kmer_952,0.009819871
kmer_8832,0.009819803
kmer_7875,0.009816314
kmer_9023,0.009814897
kmer_5180,0.009814647
kmer_6735,0.009814146
kmer_1255,0.009813127
kmer_6279,0.009812696
kmer_8080,0.009810703
kmer_7508,0.009810447
kmer_7353,0.00980901
kmer_1776,0.009808581
kmer_3594,0.009808029
kmer_8615,0.009807858
kmer_6587,0.009806881
kmer_9736,0.009806029
kmer_4677,0.009805892
kmer_3481,0.009805395
kmer_6832,0.0098045105
kmer_9495,0.009804325
kmer_6409,0.009801626
kmer_5920,0.009801443
kmer_1969,0.009801437
kmer_3616,0.009801361
kmer_9745,0.00980128
kmer_9661,0.009799196
kmer_7766,0.009798169
kmer_5551,0.009798072
kmer_7878,0.009797041
kmer_8593,0.0097961435
kmer_6485,0.00979602
kmer_9670,0.009795118
kmer_5258,0.009794546
kmer_8075,0.009792508
kmer_8344,0.009792314
kmer_7621,0.00979202
kmer_9489,0.00979008
kmer_9704,0.009790009
kmer_6202,0.009788932
kmer_5057,0.009787825
kmer_4147,0.009787632
kmer_5914,0.009787012
kmer_252,0.009786918
kmer_156,0.00978612
kmer_7737,0.009785174
kmer_8602,0.009783987
kmer_2406,0.00978295
kmer_6732,0.009782574
kmer_8587,0.009781383
kmer_4478,0.009780384
kmer_4931,0.009779645
kmer_7315,0.009779299
kmer_2292,0.009778593
kmer_9781,0.009778566
kmer_9484,0.009777969
kmer_7236,0.009777707
kmer_5762,0.009777468
kmer_6426,0.009776677
kmer_8805,0.009776044
kmer_7582,0.009776029
kmer_6105,0.009772926
kmer_1847,0.009772189
kmer_3393,0.009771767
kmer_6218,0.009771278
kmer_4999,0.00976749
kmer_8141,0.009767264
kmer_8774,0.009766597
kmer_8601,0.009765517
kmer_4764,0.009765375
kmer_4656,0.009765198
kmer_80,0.009764478
kmer_9025,0.009764424
kmer_6281,0.009763372
kmer_7897,0.009763149
kmer_7759,0.009761366
kmer_9330,0.009761022
kmer_7669,0.009760243
kmer_3902,0.009759607
kmer_2971,0.009758329
kmer_8097,0.0097566685
kmer_7404,0.00975552
kmer_4792,0.00975535
kmer_322,0.00975241
kmer_6099,0.009751283
kmer_9212,0.009750115
